X,binary
isogroup138472_g1,0
isogroup138480_g1,0
isogroup138489_g1,0
isogroup138517_g1,0
isogroup138521_g1,0
isogroup13853_g1,0
isogroup13854_g1,0
isogroup138566_g1,1
isogroup138571_g1,0
isogroup138578_g1,0
isogroup138598_g1,0
isogroup138713_g1,0
isogroup138761_g1,0
isogroup138762_g1,0
isogroup138776_g1,0
isogroup138780_g1,0
isogroup138794_g1,0
isogroup138842_g1,0
isogroup138889_g1,0
isogroup138899_g1,0
isogroup13891_g1,0
isogroup138970_g1,0
isogroup138974_g1,0
isogroup139014_g1,0
isogroup139026_g1,0
isogroup139143_g1,0
isogroup13916_g1,0
isogroup139195_g1,0
isogroup139225_g1,0
isogroup139242_g1,0
isogroup139286_g1,0
isogroup13928_g1,0
isogroup139353_g1,0
isogroup13935_g1,0
isogroup139370_g1,1
isogroup13937_g1,0
isogroup139403_g1,0
isogroup139416_g1,0
isogroup13941_g1,1
isogroup139422_g1,0
isogroup139452_g1,0
isogroup139478_g1,0
isogroup139494_g1,0
isogroup139555_g1,0
isogroup139572_g1,0
isogroup139610_g1,0
isogroup139633_g1,0
isogroup13965_g1,0
isogroup139669_g1,0
isogroup139678_g1,0
isogroup139702_g1,0
isogroup13972_g1,0
isogroup139753_g1,0
isogroup139768_g1,0
isogroup139801_g1,0
isogroup13980_g1,0
isogroup139845_g1,0
isogroup13984_g1,0
isogroup139870_g1,0
isogroup139887_g1,0
isogroup139938_g1,0
isogroup139946_g1,0
isogroup13996_g1,0
isogroup139978_g1,0
isogroup139981_g1,0
isogroup140037_g1,0
isogroup140075_g1,0
isogroup14008_g1,0
isogroup140101_g1,0
isogroup14016_g1,0
isogroup140197_g1,0
isogroup14023_g1,0
isogroup140255_g1,0
isogroup140277_g1,0
isogroup14028_g1,0
isogroup140297_g1,0
isogroup140338_g1,0
isogroup140374_g1,0
isogroup14045_g1,0
isogroup14046_g1,0
isogroup140517_g1,0
isogroup140578_g1,0
isogroup14058_g1,0
isogroup14074_g1,0
isogroup140766_g1,0
isogroup140787_g1,0
isogroup140836_g1,0
isogroup140837_g1,0
isogroup14087_g1,0
isogroup14089_g1,0
isogroup1408_g1,0
isogroup140931_g1,0
isogroup140934_g1,0
isogroup140952_g1,0
isogroup14105_g1,0
isogroup141095_g1,0
isogroup141112_g1,0
isogroup14111_g1,0
isogroup141182_g1,0
isogroup141208_g1,0
isogroup141223_g1,0
isogroup14124_g2,0
isogroup141335_g1,0
isogroup141343_g1,0
isogroup141585_g1,0
isogroup141591_g1,0
isogroup141656_g1,0
isogroup141692_g1,0
isogroup141695_g1,0
isogroup141704_g1,0
isogroup141739_g1,0
isogroup141759_g1,0
isogroup141788_g1,0
isogroup1417_g1,0
isogroup14180_g1,0
isogroup141875_g1,0
isogroup141876_g1,0
isogroup141906_g1,0
isogroup141955_g1,0
isogroup14203_g1,0
isogroup142054_g1,0
isogroup142247_g1,0
isogroup14225_g1,0
isogroup142300_g1,0
isogroup142349_g1,0
isogroup142405_g1,0
isogroup142426_g1,0
isogroup142483_g1,0
isogroup14249_g1,0
isogroup142525_g1,0
isogroup142650_g1,0
isogroup142666_g1,0
isogroup142682_g1,0
isogroup142735_g1,0
isogroup142736_g1,0
isogroup142748_g1,0
isogroup142786_g1,0
isogroup142804_g1,0
isogroup142811_g1,0
isogroup14283_g1,0
isogroup142840_g1,0
isogroup142846_g1,0
isogroup142856_g1,0
isogroup142865_g1,0
isogroup14290_g1,0
isogroup142913_g1,0
isogroup142929_g1,0
isogroup142948_g1,0
isogroup143009_g1,0
isogroup143019_g1,0
isogroup14302_g1,0
isogroup143067_g1,0
isogroup143095_g1,0
isogroup1430_g1,0
isogroup143129_g1,0
isogroup143174_g1,0
isogroup1431_g2,0
isogroup143213_g1,0
isogroup143269_g1,0
isogroup143300_g1,0
isogroup143332_g1,0
isogroup143422_g1,0
isogroup143450_g1,0
isogroup143455_g1,0
isogroup143480_g1,0
isogroup143521_g1,0
isogroup14354_g1,0
isogroup143554_g1,0
isogroup143589_g1,0
isogroup14363_g1,0
isogroup143642_g1,0
isogroup143663_g1,0
isogroup14366_g1,0
isogroup143688_g1,0
isogroup143701_g1,0
isogroup143786_g1,0
isogroup143863_g1,0
isogroup143912_g1,0
